1684,"貞享",1,"2/21","1684/4/5"
1685,"貞享",2,"",""
1686,"貞享",3,"",""
1687,"貞享",4,"",""
1688,"貞享",5,"9/30","1688/10/23"
1688,"元禄",1,"9/30","1688/10/23"
1689,"元禄",2,"",""
1690,"元禄",3,"",""
1691,"元禄",4,"",""
1692,"元禄",5,"",""
1693,"元禄",6,"",""
1694,"元禄",7,"",""
1695,"元禄",8,"",""
1696,"元禄",9,"",""
1697,"元禄",10,"",""
1698,"元禄",11,"",""
1699,"元禄",12,"",""
1700,"元禄",13,"",""
1701,"元禄",14,"",""
1702,"元禄",15,"",""
1703,"元禄",16,"",""
1704,"元禄",17,"3/13","1704/4/16"
1704,"宝永",1,"3/13","1704/4/16"
1705,"宝永",2,"",""
1706,"宝永",3,"",""
1707,"宝永",4,"",""
1708,"宝永",5,"",""
1709,"宝永",6,"",""
1710,"宝永",7,"",""
1711,"宝永",8,"4/25","1711/6/11"
1711,"正徳",1,"4/25","1711/6/11"
1712,"正徳",2,"",""
1713,"正徳",3,"",""
1714,"正徳",4,"",""
1715,"正徳",5,"",""
1716,"正徳",6,"6/22","1716/8/9"
1716,"享保",1,"6/22","1716/8/9"
1717,"享保",2,"",""
1718,"享保",3,"",""
1719,"享保",4,"",""
1720,"享保",5,"",""
1721,"享保",6,"",""
1722,"享保",7,"",""
1723,"享保",8,"",""
1724,"享保",9,"",""
1725,"享保",10,"",""
1726,"享保",11,"",""
1727,"享保",12,"",""
1728,"享保",13,"",""
1729,"享保",14,"",""
1730,"享保",15,"",""
1731,"享保",16,"",""
1732,"享保",17,"",""
1733,"享保",18,"",""
1734,"享保",19,"",""
1735,"享保",20,"",""
1736,"享保",21,"4/28","1736/6/7"
1736,"元文",1,"4/28","1736/6/7"
1737,"元文",2,"",""
1738,"元文",3,"",""
1739,"元文",4,"",""
1740,"元文",5,"",""
1741,"元文",6,"2/27","1741/4/12"
1741,"寬保",1,"2/27","1741/4/12"
1742,"寬保",2,"",""
1743,"寬保",3,"",""
1744,"寬保",4,"2/21","1744/4/3"
1744,"延享",1,"2/21","1744/4/3"
1745,"延享",2,"",""
1746,"延享",3,"",""
1747,"延享",4,"",""
1748,"延享",5,"7/12","1748/8/5"
1748,"寛延",1,"7/12","1748/8/5"
1749,"寛延",2,"",""
1750,"寛延",3,"",""
1751,"寬延",4,"10/27","1751/12/14"
1751,"宝暦",1,"10/27","1751/12/14"
1752,"宝暦",2,"",""
1753,"宝暦",3,"",""
1754,"宝暦",4,"",""
1755,"宝暦",5,"",""
1756,"宝暦",6,"",""
1757,"宝暦",7,"",""
1758,"宝暦",8,"",""
1759,"宝暦",9,"",""
1760,"宝暦",10,"",""
1761,"宝暦",11,"",""
1762,"宝暦",12,"",""
1763,"宝暦",13,"",""
1764,"宝暦",14,"6/2","1764/6/30"
1764,"明和",1,"6/2","1764/6/30"
1765,"明和",2,"",""
1766,"明和",3,"",""
1767,"明和",4,"",""
1768,"明和",5,"",""
1769,"明和",6,"",""
1770,"明和",7,"",""
